unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Dirección de Enlace con los Honorables Consejos Deliberantes de Región Conurbano,Ministerio de Gobierno,Dirección Provincial de Región Conurbano,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,FREDES,Agustín Ignacio,Masculino,Resolución 393/2022 del Ministerio de Gobierno,https://normas.gba.gob.ar/documentos/xbMaMzCp.pdf,01/05/2022
Dirección de Asesoramiento y Relaciones Municipales de Región Interior,Ministerio de Gobierno,Dirección Provincial de Región Interior,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,NASSER,Diego Pablo,Masculino,Resolución 352/2022 del Ministerio de Gobierno,https://normas.gba.gob.ar/documentos/Bo2y82Cl.pdf,01/04/2022
Dirección de Enlace con los Honorables Consejos Deliberantes de Región Interior,Ministerio de Gobierno,Dirección Provincial de Región Interior,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,SARRIA,Francisco Antonio,Masculino,Resolución 577/2022 Ministerio de Gobierno,https://normas.gba.gob.ar/documentos/BKq7Erhn.pdf,01/07/2022
Dirección de Estudios Técnicos Metropolitanos,Ministerio de Gobierno,Dirección Provincial de Políticas Públicas Metropolitanas,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,BORAGNO,Martín Hernán,Masculino,Resolución 215/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/215/432686,01/03/2024
Dirección de Coordinación de Políticas Metropolitanas,Ministerio de Gobierno,Dirección Provincial de Políticas Públicas Metropolitanas,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,BOZZANO,Tomás José,Masculino,Resolución 327/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/327/441477,01/03/2024
DIRECCIÓN DE SERVICIOS TÉCNICOS ADMINISTRATIVOS,Ministerio de Gobierno,DIRECCIÓN PROVINCIAL LEGAL Y TÉCNICA,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,_____,_,Masculino,,,
DIRECCIÓN DE ANÁLISIS DE ASUNTOS LEGALES,Ministerio de Gobierno,DIRECCIÓN PROVINCIAL LEGAL Y TÉCNICA,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,TIZIO,Gaspar Uriel,Masculino,Resolución 53/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/53/419486,01/01/2024
DIRECCIÓN DE PROYECCIÓN NORMATIVA,Ministerio de Gobierno,DIRECCIÓN PROVINCIAL LEGAL Y TÉCNICA,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,GARBUZ MONTENEGRO,Pablo Alejandro,Masculino,Resolución 50/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/50/419471,01/01/2024
DIRECCIÓN DE REFRENDA Y DESPACHO,Ministerio de Gobierno,DIRECCIÓN PROVINCIAL LEGAL Y TÉCNICA,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,"_,_","_,_",Femenino,,,
Dirección de Logística y Servicios Auxiliares,Ministerio de Gobierno,Dirección General de Administración,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,VIGLIANO,Enzo,Masculino,Resolución 89/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/89/423318,01/01/2024
Dirección de Contabilidad,Ministerio de Gobierno,Dirección General de Administración,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,CIOCHINI,Emiliano,Masculino,Resolución 3628/2022 del Ministerio de Jefatura de Gabinete de Ministros,https://normas.gba.gob.ar/documentos/0QMGvnSZ.pdf,30/09/2022
Dirección de Compras y Contrataciones,Ministerio de Gobierno,Dirección General de Administración,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,"_,_","_,_",Femenino,,,
